trace,section,metric,value,unit
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_event_count,8192.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_mean_interval,9.763765108045416,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_p50_interval,2.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_p90_interval,2.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_p99_interval,19.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_max_interval,2233.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_max_burst_len,9.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_consecutive_interval_pct,24.246123794408497,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.0.0_dispatch_count,1024.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.0.1_dispatch_count,1024.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.0.2_dispatch_count,1024.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.0.3_dispatch_count,1024.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.1.0_dispatch_count,1024.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.1.1_dispatch_count,1024.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.1.2_dispatch_count,1024.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.1.3_dispatch_count,1024.0,count
