trace,run_log,simv_log,elapsed_time_ms,b_device_layout,passed,b_col_major_config,dram_req_enter_pct,dram_req_exit_pct,dram_rsp_enter_pct,dram_rsp_exit_pct,dram_no_markov_stall
sgemm_tcu_m64_k64_n64,build/logs/sgemm_tcu_m64_k64_n64/run.log,build/logs/sgemm_tcu_m64_k64_n64/xrtsim_vcs/simv.log,152327,row-major,True,False,0,50,0,50,True
sgemm_tcu_bcol_m64_k64_n64,build/logs/sgemm_tcu_bcol_m64_k64_n64/run.log,build/logs/sgemm_tcu_bcol_m64_k64_n64/xrtsim_vcs/simv.log,110816,col-major,True,True,0,50,0,50,True
