trace,section,metric,value,unit
sgemm_tcu_m64_k64_n64,hbm_axi,bandwidth_bytes_per_busy_cycle,0.8412352967091061,B/cycle
sgemm_tcu_m64_k64_n64,hbm_axi,bandwidth_bytes_per_user_cycle,0.920215124236174,B/cycle
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_count,341.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_mean,1265.58357771261,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_p50,141.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_p90,2688.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_p99,10065.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_max,10181.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_count,9065.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_mean,1535.5834528405958,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_p50,1018.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_p90,3754.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_p99,5765.1600000000035,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_max,6340.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_event_count,346.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_mean_interval,290.0608695652174,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_p50_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_p90_interval,173.00000000000023,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_p99_interval,9227.64,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_max_interval,10053.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_max_burst_len,2.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_consecutive_interval_pct,2.898550724637681,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_event_count,341.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_mean_interval,294.3176470588235,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_p50_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_p90_interval,177.4000000000001,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_p99_interval,9228.59,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_max_interval,10053.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_max_burst_len,2.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_consecutive_interval_pct,2.6470588235294117,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_event_count,9206.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_mean_interval,11.217599130907116,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_p90_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_p99_interval,144.7199999999939,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_max_interval,5290.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_max_burst_len,4.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_consecutive_interval_pct,19.043997827267788,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_event_count,9206.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_mean_interval,11.217599130907116,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_p90_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_p99_interval,144.7199999999939,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_max_interval,5290.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_max_burst_len,4.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_consecutive_interval_pct,19.043997827267788,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_event_count,9065.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_mean_interval,11.392100617828774,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_p90_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_p99_interval,146.3700000000008,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_max_interval,5290.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_max_burst_len,2.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_consecutive_interval_pct,19.163724624889674,cycles
sgemm_tcu_m64_k64_n64,dcache,read_bytes,477048.0,bytes
sgemm_tcu_m64_k64_n64,dcache,write_bytes,94096.0,bytes
sgemm_tcu_m64_k64_n64,dcache,total_bytes,571144.0,bytes
sgemm_tcu_m64_k64_n64,dcache,read_req_count,59631.0,count
sgemm_tcu_m64_k64_n64,dcache,write_req_count,11762.0,count
sgemm_tcu_m64_k64_n64,dcache,rsp_count,59631.0,count
sgemm_tcu_m64_k64_n64,dcache,perf_loads_delta,59631.0,count
sgemm_tcu_m64_k64_n64,dcache,perf_stores_delta,11762.0,count
sgemm_tcu_m64_k64_n64,dcache,perf_avg_load_latency,14.42258221394912,cycles
sgemm_tcu_m64_k64_n64,dcache,active_cycles,30687.0,cycles
sgemm_tcu_m64_k64_n64,dcache,active_pct_busy,27.038195515220934,pct
sgemm_tcu_m64_k64_n64,dcache,active_pct_user_kernel_body,29.576691019141432,pct
sgemm_tcu_m64_k64_n64,dcache,bandwidth_bytes_per_active_cycle,18.611920357154496,B/cycle
sgemm_tcu_m64_k64_n64,dcache,bandwidth_bytes_per_busy_cycle,5.032327415304639,B/cycle
sgemm_tcu_m64_k64_n64,dcache,bandwidth_bytes_per_user_cycle,5.50479017676427,B/cycle
sgemm_tcu_m64_k64_n64,dcache,read_latency_count,59631.0,count
sgemm_tcu_m64_k64_n64,dcache,read_latency_mean,15.42258221394912,cycles
sgemm_tcu_m64_k64_n64,dcache,read_latency_p50,15.0,cycles
sgemm_tcu_m64_k64_n64,dcache,read_latency_p90,19.0,cycles
sgemm_tcu_m64_k64_n64,dcache,read_latency_p99,27.0,cycles
sgemm_tcu_m64_k64_n64,dcache,read_latency_max,75.0,cycles
sgemm_tcu_m64_k64_n64,dcache,read_req_event_count,7467.0,count
sgemm_tcu_m64_k64_n64,dcache,read_req_mean_interval,13.866863112777926,cycles
sgemm_tcu_m64_k64_n64,dcache,read_req_p50_interval,12.0,cycles
sgemm_tcu_m64_k64_n64,dcache,read_req_p90_interval,20.0,cycles
sgemm_tcu_m64_k64_n64,dcache,read_req_p99_interval,68.0,cycles
sgemm_tcu_m64_k64_n64,dcache,read_req_max_interval,1028.0,cycles
sgemm_tcu_m64_k64_n64,dcache,read_req_max_burst_len,1.0,count
sgemm_tcu_m64_k64_n64,dcache,read_req_consecutive_interval_pct,0.0,cycles
sgemm_tcu_m64_k64_n64,dcache,write_req_event_count,1486.0,count
sgemm_tcu_m64_k64_n64,dcache,write_req_mean_interval,69.52929292929294,cycles
sgemm_tcu_m64_k64_n64,dcache,write_req_p50_interval,16.0,cycles
sgemm_tcu_m64_k64_n64,dcache,write_req_p90_interval,51.600000000000136,cycles
sgemm_tcu_m64_k64_n64,dcache,write_req_p99_interval,1546.4000000000115,cycles
sgemm_tcu_m64_k64_n64,dcache,write_req_max_interval,5305.0,cycles
sgemm_tcu_m64_k64_n64,dcache,write_req_max_burst_len,1.0,count
sgemm_tcu_m64_k64_n64,dcache,write_req_consecutive_interval_pct,0.0,cycles
sgemm_tcu_m64_k64_n64,dcache,rsp_event_count,23611.0,count
sgemm_tcu_m64_k64_n64,dcache,rsp_mean_interval,4.384540448962304,cycles
sgemm_tcu_m64_k64_n64,dcache,rsp_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,dcache,rsp_p90_interval,10.0,cycles
sgemm_tcu_m64_k64_n64,dcache,rsp_p99_interval,34.0,cycles
sgemm_tcu_m64_k64_n64,dcache,rsp_max_interval,1042.0,cycles
sgemm_tcu_m64_k64_n64,dcache,rsp_max_burst_len,6.0,count
sgemm_tcu_m64_k64_n64,dcache,rsp_consecutive_interval_pct,1.2452350698856416,cycles
sgemm_tcu_m64_k64_n64,lmem,read_bytes,0.0,bytes
sgemm_tcu_m64_k64_n64,lmem,write_bytes,0.0,bytes
sgemm_tcu_m64_k64_n64,lmem,total_bytes,0.0,bytes
sgemm_tcu_m64_k64_n64,lmem,read_req_count,0.0,count
sgemm_tcu_m64_k64_n64,lmem,write_req_count,0.0,count
sgemm_tcu_m64_k64_n64,lmem,rsp_count,0.0,count
sgemm_tcu_m64_k64_n64,lmem,perf_reads_delta,0.0,count
sgemm_tcu_m64_k64_n64,lmem,perf_writes_delta,0.0,count
sgemm_tcu_m64_k64_n64,lmem,perf_crsp_stalls_delta,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,active_cycles,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,active_pct_busy,0.0,pct
sgemm_tcu_m64_k64_n64,lmem,active_pct_user_kernel_body,0.0,pct
sgemm_tcu_m64_k64_n64,lmem,bandwidth_bytes_per_active_cycle,0.0,B/cycle
sgemm_tcu_m64_k64_n64,lmem,bandwidth_bytes_per_busy_cycle,0.0,B/cycle
sgemm_tcu_m64_k64_n64,lmem,bandwidth_bytes_per_user_cycle,0.0,B/cycle
sgemm_tcu_m64_k64_n64,lmem,read_latency_count,0.0,count
sgemm_tcu_m64_k64_n64,lmem,read_latency_mean,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_latency_p50,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_latency_p90,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_latency_p99,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_latency_max,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_req_event_count,0.0,count
sgemm_tcu_m64_k64_n64,lmem,read_req_mean_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_req_p50_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_req_p90_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_req_p99_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_req_max_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,read_req_max_burst_len,0.0,count
sgemm_tcu_m64_k64_n64,lmem,read_req_consecutive_interval_pct,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,write_req_event_count,0.0,count
sgemm_tcu_m64_k64_n64,lmem,write_req_mean_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,write_req_p50_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,write_req_p90_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,write_req_p99_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,write_req_max_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,write_req_max_burst_len,0.0,count
sgemm_tcu_m64_k64_n64,lmem,write_req_consecutive_interval_pct,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,rsp_event_count,0.0,count
sgemm_tcu_m64_k64_n64,lmem,rsp_mean_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,rsp_p50_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,rsp_p90_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,rsp_p99_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,rsp_max_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,lmem,rsp_max_burst_len,0.0,count
sgemm_tcu_m64_k64_n64,lmem,rsp_consecutive_interval_pct,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_window,busy_cycles_denominator,95482.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_window,user_kernel_body_cycles_denominator,85728.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_count,2.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_count,6179.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_stall_count,156.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,active_cycles_any_pe,6179.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,active_pct_busy,6.471376804004944,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,active_pct_user_kernel_body,7.20768010451661,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_lane_util_pct_busy,3.235688402002472,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_lane_util_pct_user_kernel_body,3.603840052258305,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_stall_pct_activity,2.462509865824783,pct
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_event_count,6179.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_mean_interval,12.944804143735837,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_p50_interval,2.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_p90_interval,4.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_p99_interval,624.9899999999943,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_max_interval,2233.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_max_burst_len,1.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu_pe,pe_fire_consecutive_interval_pct,0.0,cycles
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,pe_index,0.0,index
sgemm_tcu_bcol_m64_k64_n64,tcu_fp,fire_count,6179.0,count
