cycle,allocate,request_done,fetch_active_r,request_fire,sent_r,fetch_slot_r,request_byte_addr,allocate_owner,allocate_segment,slot_occupancy_o,req_valid,req_ready,input_fire,weight_ready,post_txn_count,post_head_psum_ready,post_head_scaled_ready
9167,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
9168,1,0,0,0,0,0,8585740288,0,0,0,0,1,0,1,0,1,0
9169,1,1,1,15,0,0,8585740288,0,1,1,0,1,0,1,0,1,0
9170,1,1,1,15,0,1,8585740544,0,2,2,0,1,0,1,0,1,0
9171,1,1,1,15,0,2,8585740800,0,3,3,0,1,0,1,0,1,0
9172,1,1,1,15,0,3,8585741056,1,0,4,0,1,0,1,0,1,0
9173,1,1,1,15,0,4,8585740288,1,1,5,0,1,0,0,0,1,0
9174,1,1,1,15,0,5,8585740544,1,2,6,0,1,0,0,0,1,0
9175,1,1,1,15,0,6,8585740800,1,3,7,0,1,0,0,0,1,0
9176,1,1,1,15,0,7,8585741056,2,0,8,0,1,0,0,0,1,0
9177,1,1,1,15,0,8,8585740288,2,1,9,0,1,0,0,0,1,0
9178,1,1,1,15,0,9,8585740544,2,2,10,0,1,0,0,0,1,0
